id,name,description,country,region,city,locality,latitude,longitude,category,subcategory,rating,review_count,popularity_score,estimated_visit_duration,entry_fee,currency,opening_hours,best_time_to_visit,family_friendly,wheelchair_accessible,indoor_outdoor,estimated_cost,source,source_url
p014,Nara Park,Large park known for free-roaming deer and nearby temples,Japan,Kansai,Nara,Nara Park,34.6851,135.8430,Nature,Park,4.6,19000,90,180,0,JPY,Open daily,Spring,true,true,Outdoor,10,Reference,https://www3.pref.nara.jp/park/
p015,Gion District,Traditional Kyoto district with preserved streets and teahouses,Japan,Kansai,Kyoto,Gion,35.0037,135.7788,Culture,Historic district,4.5,12000,85,120,0,JPY,Open daily,Evening,true,false,Outdoor,20,Reference,https://kyoto.travel/en/
p016,Borra Caves,Large limestone caves in the Ananthagiri Hills near Araku,India,Andhra Pradesh,Araku Valley,Ananthagiri,18.2800,83.0450,Nature,Caves,4.5,8500,88,120,60,INR,09:00-17:00,October-February,true,false,Indoor,60,Reference,https://allurisitharamaraju.ap.gov.in/
p017,Katiki Waterfalls,Forest waterfall reached by a short local trek near Borra Caves,India,Andhra Pradesh,Araku Valley,Katiki,18.2820,83.0550,Nature,Waterfall,4.4,4100,80,150,0,INR,Daylight hours,Post-monsoon,false,false,Outdoor,80,Reference,https://tourism.ap.gov.in/
p018,Araku Coffee Museum,Small museum presenting the coffee culture of the Araku region,India,Andhra Pradesh,Araku Valley,Araku,18.3273,82.8775,Food,Museum,4.2,2600,65,75,20,INR,09:00-18:00,Morning,true,true,Indoor,80,Reference,https://tourism.ap.gov.in/
p019,Tribal Museum Araku,Regional museum about tribal culture and crafts of the Eastern Ghats,India,Andhra Pradesh,Araku Valley,Araku,18.3278,82.8800,Culture,Museum,4.3,3400,70,90,20,INR,09:00-18:00,Morning,true,true,Indoor,50,Reference,https://tourism.ap.gov.in/
p020,Padmapuram Gardens,Botanical garden and toy train attraction in Araku Valley,India,Andhra Pradesh,Araku Valley,Araku,18.3265,82.8784,Nature,Garden,4.1,2200,60,90,40,INR,09:00-18:00,Afternoon,true,true,Outdoor,50,Reference,https://tourism.ap.gov.in/
p021,RK Beach,Popular urban beach and promenade in Visakhapatnam,India,Andhra Pradesh,Visakhapatnam,RK Beach,17.7148,83.3230,Nature,Beach,4.4,12000,86,120,0,INR,Open daily,Sunset,true,true,Outdoor,20,Reference,https://visakhapatnam.ap.gov.in/tourism/
p022,Kailasagiri Hill Park,Hilltop park with views over Visakhapatnam and the coast,India,Andhra Pradesh,Visakhapatnam,Kailasagiri,17.7475,83.3410,Nature,Park,4.5,9500,82,150,0,INR,06:00-21:00,Sunset,true,true,Outdoor,50,Reference,https://visakhapatnam.ap.gov.in/tourism/
p023,INS Kurusura Submarine Museum,Retired submarine museum on the Visakhapatnam coast,India,Andhra Pradesh,Visakhapatnam,RK Beach,17.7193,83.3227,History,Museum,4.5,6800,79,90,40,INR,14:00-20:30,Afternoon,true,true,Indoor,100,Reference,https://visakhapatnam.ap.gov.in/tourism/
p024,Yarada Beach,Scenic beach surrounded by hills south of Visakhapatnam,India,Andhra Pradesh,Visakhapatnam,Yarada,17.6587,83.2584,Nature,Beach,4.5,7300,78,150,0,INR,Open daily,Early morning,true,false,Outdoor,60,Reference,https://visakhapatnam.ap.gov.in/tourism/
p025,Charminar,Four-minaret monument and historic landmark in Hyderabad,India,Telangana,Hyderabad,Old City,17.3616,78.4747,History,Monument,4.5,22000,95,120,25,INR,09:30-17:30,Evening,true,true,Outdoor,100,Reference,https://tourism.telangana.gov.in/
p026,Golconda Fort,Historic fortified complex with panoramic views of Hyderabad,India,Telangana,Hyderabad,Golconda,17.3833,78.4011,History,Fort,4.5,18000,92,180,25,INR,09:00-17:30,Early morning,true,false,Outdoor,100,Reference,https://tourism.telangana.gov.in/
p027,Salar Jung Museum,Major museum with collections from around the world,India,Telangana,Hyderabad,Darulshifa,17.3714,78.4804,Culture,Museum,4.4,11000,82,150,20,INR,10:00-17:00,Weekday morning,true,true,Indoor,100,Reference,https://salarjungmuseum.in/
p028,Hussain Sagar Lake,Lake and promenade linking Hyderabad and Secunderabad,India,Telangana,Hyderabad,Hussain Sagar,17.4239,78.4738,Nature,Lake,4.3,9500,80,120,0,INR,Open daily,Sunset,true,true,Outdoor,80,Reference,https://tourism.telangana.gov.in/
p029,Tea Museum Munnar,Museum documenting the history of tea production in Munnar,India,Kerala,Munnar,Nallathanni,10.0892,77.0600,Culture,Museum,4.2,5200,72,90,125,INR,09:00-16:00,Morning,true,true,Indoor,150,Reference,https://www.keralatourism.org/
p030,Mattupetty Dam,Mountain lake and dam surrounded by tea estates near Munnar,India,Kerala,Munnar,Mattupetty,10.1050,77.1230,Nature,Lake,4.4,8400,78,120,0,INR,09:00-17:00,Morning,true,true,Outdoor,150,Reference,https://www.keralatourism.org/
p031,Eravikulam National Park,Protected mountain park known for Nilgiri tahr and rolling grasslands,India,Kerala,Munnar,Rajamalai,10.1540,77.0640,Nature,National park,4.5,10000,88,240,200,INR,07:30-16:00,February-May,true,false,Outdoor,300,Reference,https://www.keralatourism.org/
